Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,590	29285,926	4,0	8,0	60,0	20,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	30871,504	4,0	8,0	81,0	41,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	29712,974	4,0	8,0	109,0	69,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	28669,936	4,0	8,0	148,0	108,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	28481,320	4,0	8,0	199,0	159,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	28030,125	4,0	8,0	269,0	229,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	26478,203	4,0	8,0	363,0	323,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	24673,661	4,0	8,0	490,0	450,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	22473,090	4,0	8,0	662,0	622,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	19502,811	4,0	8,0	894,0	854,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	16197,331	4,0	8,0	1206,0	1166,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	12278,382	4,0	8,0	1629,0	1589,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	8666,348	4,0	8,0	2199,0	2159,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	5503,215	4,0	8,0	2968,0	2928,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	2697,390	4,0	8,0	4007,0	3967,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	1097,413	4,0	8,0	5410,0	5370,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	436,247	4,0	8,0	7303,0	7263,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	246,540	4,0	8,0	9859,0	9819,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	248,623	4,0	8,0	13309,0	13269,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	357,112	4,0	8,0	17968,0	17928,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
30,590	308,598	4,0	8,0	24256,0	24216,0	2000,0	20,0	1,0	0,0	37,0	53,0	10,3
